address	balance
34Knfd3NYNomfaCTzMbL5mAcYHuMFwWP7Y	524066228528
1BVtDi7txPCG2TH5Crd2Rw5MtpivbmoKgB	518572975146
3HNP2s6EE3GRe6bU7wwVhCAUyMucKh8Yzp	513777967601
3BMEXxSMT2b2kvsnC4Q35d2kKJZ4u9bSLh	512343743171
12CEGvJfHFCVGGUBTTA5yUaPHhchBPpuZK	510433741817
3FAxrWQVgNNUZ4FCjRQgzDbce1vTyonzwC	508413685092
1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC	507500156434
3Jz9R3Eevdx2nrSidWt6ZB3fntznCcZ5TN	503571640376
bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu	500388061730
15n6boxiQj45oHcmDjtNMjh35sFWZX4PBt	500151484356
1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS	500001968143
18xGHNrU26w6HSCEL8DD5o1whfiDaYgp6i	500001168565
3JkfTdGnpNhK5xBjP6BzRsitZqnnVjQV1B	500000594271
bc1qlfmc6nv27d62s6zygjnjt6wm28klfh2gltg6ym	500000232859
1LH1dY82QFtNGinBpCakU5WcTUKRyuztTz	500000207658
16Jka2DrvEGGJ6ks2kXRpxmQZLQmAFRoGk	500000199300
1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR	500000157653
19z6WynrjHeD5MMv6919BuQRwybuen1sRv	500000157653
14RKFqH45xYPMpW4KQ28RB6XtrZ8XpEM5i	500000157418
1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9	500000157165
1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY	500000157106
bc1q3nkt8j6rphj6ry7jynanqn8j82f9d5fxkan659	500000060401
12ytiN9oWQTRGb6JjZiaoWMAvF9nPWdGX1	500000013153
bc1qdxsg7cfsqrg8sq3cs8ptsafqs6drtyuxswrqga	500000001094
bc1qj26j4slcsyw4fgnftwhx64cw6yfm59azlkn2ey	500000000000
1LXzGrDQqKqVBqxfGDUyhC6rTRBN5s8Sbj	499999853408
1LQKFmdYrN9egC5grf8Thbcuwwv4sE4RvP	499999718657
13r8PhQ9Gk1KavpJzjc8ELjEw3kBQKLRHq	499998479387
3Kz7riZGm6jACW9sGM7W2QXC9ErmoqDeam	499990187238
1A8Dm7viizxtYM38FsQyRGtH3VfTKnViig	493448400000
13s2ce5YSeVeJbdjCA54r5WykWPYZg3gJH	490039958551
1Btud1pqADgGzgBCZzxzc2b1o1ytk1HYWC	490000013272
1BXZng4dcXDnYNRXRgHqWjzT5RwxHHBSHo	490000012725
1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj	488114177225
1FVd6EEQnfq8UPDTzfcCBKZTR4uGGJzbgH	484710007658
35j7hbYS9QnKHgdrJF4MozcYwax11J58DT	481953993979
17spLhCpZVdQXFz2ZL1aP5gRci6RFVNhrD	481698911014
1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJm	479200167772
1LhGPB4qCaQvup5xpfoeyzoKwjxUDodmDK	478514429168
bc1q4c8n5t00jmj8temxdgcc3t32nkg2wjwz24lywv	478404035120
1AaJfJbaoP553HGpmXvqYwZ9a9q8SE9NgX	475479567375
1Fo497ay4yuv3zQoN9hDWTGuNb33ciioR3	475000009976
bc1qncsa0qdrgsr58303gsnuwhd5vrm7hlkpd6klmf	474136838039
bc1qlu098gkdn2enjw424y5s60avpj8mphlkacus6n	472214198134
14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat	471627782002
1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv	470823846926
1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV	470358694016
1Kq6hXXiSpdp9bg9hDDyqm8ZfvgZmzchjn	469939638525
32Fi8AGeX5fvZwU1r9KEzvTPSXmqeRh7mg	469701000000
1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk	469641853152
19CkUw43czT8yQctnHXNiB5ivNtibWbzqS	469641853152
